;Filename;Original Sentence;Transcribed Sentence;Word Error Rate;Levenshtein Distance;Precision;Recall;Micro Precision;Micro Recall;Micro F-score;Macro Precision;Macro Recall;Macro F-score
0;task10_c_noisy_M.wav;Code is like humor. When you have to explain it, it’s bad;"Code is like humor. When you have to explain it, it's bad.
";0,166666667;3;0,833333333;0,833333333;;;;;;
1;task12_c_noisy_F.wav;In the kaleidoscope of life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.;"In the kaleidoscope of life, this symbiotic confluence of camaraderie and mutual understanding serve as an ineffable elixir, forcing an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.
";0,088235294;8;0,892857143;0,925925926;;;;;;
2;task5_b_native_M.wav;The intricate details of the ancient manuscript fascinated the historian;"The intricate details of the ancient manuscript fascinated the historian.
";0,1;2;0,888888889;0,888888889;;;;;;
3;task2_d_non noicy_M.wav;The nice smell of fresh coffee floated around, waking me up.;"The nice smell of fresh coffee floated around, waking me up.
";0;1;1;1;;;;;;
4;task8_c_noisy_M.wav;Make it work, make it right, make it fast;"Make it work. Make it right. Make it fast.
";0,555555556;6;0,4;0,333333333;;;;;;
5;task2_a_non_native_M.wav;The nice smell of fresh coffee floated around, waking me up.;"The nice smell of fresh coffee floated around waking me up.
";0,090909091;2;0,909090909;0,909090909;;;;;;
6;task7_d_non noicy_M.wav;When you have to protect someone they become your family. Being shinobi is defined by what's in your heart, not your blood;"When you have to protect someone, they become your family. Being shinobi is defined by what's in your heart, not your blood.
";0,090909091;3;0,9;0,9;;;;;;
7;task2_b_native_M.wav;The nice smell of fresh coffee floated around, waking me up.;"The nice smell of fresh coffee floated around, waking me up.
";0;1;1;1;;;;;;
8;task1_a_non_native_M.wav;The sun is shining brightly in the clear blue sky;"The sun is shining brightly in the clear blue sky.
";0,1;2;0,9;0,9;;;;;;
9;task3_b_native_M.wav;My grandmother, who immigrated from Italy, taught me the art of making homemade pasta;"My grandmother, who immigrated from Italy, taught me the art of making homemade pasta.
";0,071428571;2;0,928571429;0,928571429;;;;;;
10;task12_d_non noicy_F.wav;In the kaleidoscope of life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.;"In the kaleidoscope of life, the symbiotic confluence of a camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of a time with an enduring luminosity.
";0,055555556;5;0,964285714;1;;;;;;
11;task3_a_non_native_F.wav;My grandmother, who immigrated from Italy, taught me the art of making homemade pasta;"My grandmother, who immigrated from Italy, taught me the art of making homemade pasta.
";0,071428571;2;0,928571429;0,928571429;;;;;;
12;task12_b_native_M.wav;In the kaleidoscope of life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.;"In the kaleidoscope of life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.
";0;1;1;1;;;;;;
13;task3_d_non noicy_M.wav;My grandmother, who immigrated from Italy, taught me the art of making homemade pasta;"My grandmother, who immigrated from Italy, taught me the art of making homemade pasta.
";0,071428571;2;0,928571429;0,928571429;;;;;;
14;task4_b_native_M.wav;Despite the intricate interplay of socioeconomic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.;"Despite the intricate interplay of socio-economic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.
";0,035714286;2;0,958333333;0,958333333;;;;;;
15;task11_c_noisy_F.wav;The trouble with programmers is that you can never tell what a programmer is doing until it’s too late;"The trouble with programmers is that you can never tell what a programmer is doing until it's too late.
";0,105263158;3;0,888888889;0,888888889;;;;;;
16;task6_d_non noicy_M.wav;The complexity of quantum physics often leaves even experts perplexed;"The complexity of quantum physics often leaves even experts perplexed.
";0,1;2;0,9;0,9;;;;;;
17;task9_c_noisy_F.wav;Amidst the chaos, he found a moment of serenity by focusing on his breath;"Amidst the chaos, he found a moment of serenity by focusing on his breath.
";0,071428571;2;0,928571429;0,928571429;;;;;;
18;task6_b_native_M.wav;The complexity of quantum physics often leaves even experts perplexed;"The complexity of quantum physics often leaves even experts perplexed.
";0,1;2;0,9;0,9;;;;;;
19;task8_d_non noicy_F.wav;Make it work, make it right, make it fast;"Make it work, make it right, make it fast.
";0,111111111;2;0,833333333;0,833333333;;;;;;
20;task3_c_noisy_F.wav;My grandmother, who immigrated from Italy, taught me the art of making homemade pasta;"My grandmother who immigrated from Italy taught me the art of making homemade pasta.
";0,214285714;4;0,785714286;0,785714286;;;;;;
21;task11_d_non noicy_F.wav;The trouble with programmers is that you can never tell what a programmer is doing until it’s too late;"The trouble with programmers is that you can never tell what a programmer is doing until it's too late.
";0,105263158;3;0,888888889;0,888888889;;;;;;
22;task1_c_noisy_M.wav;The sun is shining brightly in the clear blue sky;"The sun is shining brightly in the clear blue sky.
";0,1;2;0,9;0,9;;;;;;
23;task11_a_non_native_M.wav;The trouble with programmers is that you can never tell what a programmer is doing until it’s too late;"The trouble with programmers is that you can never tell what a programmer is doing until it's too late.
";0,105263158;3;0,888888889;0,888888889;;;;;;
24;task5_c_noisy_M.wav;The intricate details of the ancient manuscript fascinated the historian;"The intricate details of the ancient manuscript fascinated the historian.
";0,1;2;0,888888889;0,888888889;;;;;;
25;task7_c_noisy_F.wav;When you have to protect someone they become your family. Being shinobi is defined by what's in your heart, not your blood;"When you have to protect someone, they become your family. Being Shinobi is defined by what's in your heart, not your blood.
";0,136363636;4;0,85;0,85;;;;;;
26;task1_b_native_M.wav;The sun is shining brightly in the clear blue sky;"The sun is shining brightly in the clear blue sky.
";0,1;2;0,9;0,9;;;;;;
27;task7_a_non_native_M.wav;When you have to protect someone they become your family. Being shinobi is defined by what's in your heart, not your blood;"When you have to protect someone, they become your family. Being shinobi is defined by what's in your heart, not your blood.
";0,090909091;3;0,9;0,9;;;;;;
28;task5_a_non_native_F.wav;The intricate details of the ancient manuscript fascinated the historian;"The intricate details of the ancient manuscript fascinated the historian.
";0,1;2;0,888888889;0,888888889;;;;;;
29;task10_b_native_M.wav;Code is like humor. When you have to explain it, it’s bad;"Code is like humor. When you have to explain it, it's bad.
";0,166666667;3;0,833333333;0,833333333;;;;;;
30;task8_a_non_native_F.wav;Make it work, make it right, make it fast;"Make it work, make it rides, make it fast.
";0,222222222;5;0,666666667;0,666666667;;;;;;
31;task5_d_non noicy_M.wav;The intricate details of the ancient manuscript fascinated the historian;"The intricate details of the ancient manuscript fascinated the historian.
";0,1;2;0,888888889;0,888888889;;;;;;
32;task9_b_native_M.wav;Amidst the chaos, he found a moment of serenity by focusing on his breath;"Amidst the chaos, he found a moment of serenity by focusing on his breath.
";0,071428571;2;0,928571429;0,928571429;;;;;;
33;task11_b_native_M.wav;The trouble with programmers is that you can never tell what a programmer is doing until it’s too late;"The trouble with programmers is that you can never tell what a programmer is doing until it's too late.
";0,105263158;3;0,888888889;0,888888889;;;;;;
34;task6_a_non_native_F.wav;The complexity of quantum physics often leaves even experts perplexed;"The complexity of quantum physics often leaves even experts perplexed.
";0,1;2;0,9;0,9;;;;;;
35;task9_d_non noicy_F.wav;Amidst the chaos, he found a moment of serenity by focusing on his breath;"Amidst the chaos, he found a moment of serenity by focusing on his breath.
";0,071428571;2;0,928571429;0,928571429;;;;;;
36;task8_b_native_M.wav;Make it work, make it right, make it fast;"Make it work. Make it right. Make it fast.
";0,555555556;6;0,4;0,333333333;;;;;;
37;task10_d_non noicy_F.wav;Code is like humor. When you have to explain it, it’s bad;"Code is like humor, when you have to explain it, it's bad.
";0,333333333;5;0,666666667;0,666666667;;;;;;
38;task9_a_non_native_M.wav;Amidst the chaos, he found a moment of serenity by focusing on his breath;"Amidst the chaos, he found a moment of serenity by focusing on his breath.
";0,071428571;2;0,928571429;0,928571429;;;;;;
39;task4_a_non_native_M.wav;Despite the intricate interplay of socioeconomic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.;"Despite the intricate interplay of socio-economic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.
";0,035714286;2;0,958333333;0,958333333;;;;;;
40;task1_d_non noicy_M.wav;The sun is shining brightly in the clear blue sky;"The sun is shining brightly in the clear blue sky.
";0,1;2;0,9;0,9;;;;;;
41;task12_a_non_native_M.wav;In the kaleidoscope of life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.;"In The Kaleidoscope of Life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, rescinding the vicissitudes of time with an enduring luminosity.
";0,117647059;8;0,857142857;0,888888889;;;;;;
42;task2_c_noisy_M.wav;The nice smell of fresh coffee floated around, waking me up.;"The nice smell of fresh coffee floated around, waking me up.
";0;1;1;1;;;;;;
43;task7_b_native_M.wav;When you have to protect someone they become your family. Being shinobi is defined by what's in your heart, not your blood;"When you have to protect someone, they become your family. Being Shinobi is defined by what's in your heart, not your blood.
";0,136363636;4;0,85;0,85;;;;;;
44;task4_c_noisy_F.wav;Despite the intricate interplay of socioeconomic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.;"Despite the intricate interplay of socio-economic factors, the inobservable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.
";0,071428571;7;0,916666667;0,916666667;;;;;;
45;task4_d_non noicy_M.wav;Despite the intricate interplay of socioeconomic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.;"Despite the intricate interplay of socio-economic factors, the inexorable march of technological advancement continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.
";0,071428571;3;0,916666667;0,916666667;;;;;;
46;task10_a_non_native_F.wav;Code is like humor. When you have to explain it, it’s bad;"Code is like humor, when you have to explain it, it's bad.
";0,333333333;5;0,666666667;0,666666667;;;;;;
47;task6_c_noisy_M.wav;The complexity of quantum physics often leaves even experts perplexed;"The complexity of quantum physics often leaves even experts perplexed.
";0,1;2;0,9;0,9;;;;;;
48;task5_d_non noicy_F.wav;The intricate details of the ancient manuscript fascinated the historian;"The intricate details of the ancient manuscript fascinated the historian.
";0,1;2;0,888888889;0,888888889;;;;;;
49;task9_b_native_F.wav;Amidst the chaos, he found a moment of serenity by focusing on his breath;"Amidst the chaos, he found a moment of serenity by focusing on his breath.
";0,071428571;2;0,928571429;0,928571429;;;;;;
50;task8_a_non_native_M.wav;Make it work, make it right, make it fast;"Make it work, make it right, make it fast.
";0,111111111;2;0,833333333;0,833333333;;;;;;
51;task10_b_native_F.wav;Code is like humor. When you have to explain it, it’s bad;"Code is like humour, when you have to explain it, it's bad.
";0,333333333;6;0,666666667;0,666666667;;;;;;
52;task5_a_non_native_M.wav;The intricate details of the ancient manuscript fascinated the historian;"The intricate details of the ancient manuscript fascinated the historians.
";0,1;3;0,888888889;0,888888889;;;;;;
53;task7_a_non_native_F.wav;When you have to protect someone they become your family. Being shinobi is defined by what's in your heart, not your blood;"When you have to protect someone, they become your family. Being shinobi is to find babas in your heart, not your blood.
";0,227272727;13;0,789473684;0,75;;;;;;
54;task1_b_native_F.wav;The sun is shining brightly in the clear blue sky;"The sun is shining brightly in the clear blue sky.
";0,1;2;0,9;0,9;;;;;;
55;task7_c_noisy_M.wav;When you have to protect someone they become your family. Being shinobi is defined by what's in your heart, not your blood;"When you have to protect someone, they become your family. Being Shinobi is defined by what's in your heart, not your blood.
";0,136363636;4;0,85;0,85;;;;;;
56;task5_c_noisy_F.wav;The intricate details of the ancient manuscript fascinated the historian;"The intricate details of the ancient manuscript fascinated the historian.
";0,1;2;0,888888889;0,888888889;;;;;;
57;task11_a_non_native_F.wav;The trouble with programmers is that you can never tell what a programmer is doing until it’s too late;"The trouble with programmers is that you can never tell what a programmer is tooling until it's too late.
";0,157894737;6;0,833333333;0,833333333;;;;;;
58;task11_d_non noicy_M.wav;The trouble with programmers is that you can never tell what a programmer is doing until it’s too late;"The trouble with programmers is that you can never tell what a programmer is doing until it's too late.
";0,105263158;3;0,888888889;0,888888889;;;;;;
59;task1_c_noisy_F.wav;The sun is shining brightly in the clear blue sky;"The sun is shining brightly in the clear blue sky.
";0,1;2;0,9;0,9;;;;;;
60;task8_d_non noicy_M.wav;Make it work, make it right, make it fast;"Make it work, make it right, make it fast.
";0,111111111;2;0,833333333;0,833333333;;;;;;
61;task3_c_noisy_M.wav;My grandmother, who immigrated from Italy, taught me the art of making homemade pasta;"My grandmother, who immigrated from Italy, taught me the art of making homemade pasta.
";0,071428571;2;0,928571429;0,928571429;;;;;;
62;task6_b_native_F.wav;The complexity of quantum physics often leaves even experts perplexed;"The complexity of quantum physics often leaves even experts perplexed.
";0,1;2;0,9;0,9;;;;;;
63;task10_a_non_native_M.wav;Code is like humor. When you have to explain it, it’s bad;"Code is like humor, when you have to explain it, it's bad.
";0,333333333;5;0,666666667;0,666666667;;;;;;
64;task6_c_noisy_F.wav;The complexity of quantum physics often leaves even experts perplexed;"The complexity of quantum physics often leaves even experts perplexed.
";0,1;2;0,9;0,9;;;;;;
65;task4_d_non noicy_F.wav;Despite the intricate interplay of socioeconomic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.;"Despite the intricate interplay of socio-economic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.
";0,035714286;2;0,958333333;0,958333333;;;;;;
66;task4_c_noisy_M.wav;Despite the intricate interplay of socioeconomic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.;"Despite the intricate interplay of socio-economic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.
";0,035714286;2;0,958333333;0,958333333;;;;;;
67;task7_b_native_F.wav;When you have to protect someone they become your family. Being shinobi is defined by what's in your heart, not your blood;"When you have to protect someone they become your family. Being shinobi is defined by what's in your heart, not your blood.
";0,045454545;2;0,95;0,95;;;;;;
68;task2_c_noisy_F.wav;The nice smell of fresh coffee floated around, waking me up.;"The nice smell of fresh coffee floated around, waking me up.
";0;1;1;1;;;;;;
69;task12_a_non_native_F.wav;In the kaleidoscope of life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.;"In the kaleidoscope of life, the symbiotic confluence of camaraderie and mutual understanding serves as an inevitable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of time into enduring luminosity.
";0,090909091;10;0,925925926;0,925925926;;;;;;
70;task1_d_non noicy_F.wav;The sun is shining brightly in the clear blue sky;"The sun is shining brightly in the clear blue sky.
";0,1;2;0,9;0,9;;;;;;
71;task4_a_non_native_F.wav;Despite the intricate interplay of socioeconomic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.;"Despite the intricate interplay of socio-economic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.
";0,035714286;2;0,958333333;0,958333333;;;;;;
72;task9_a_non_native_F.wav;Amidst the chaos, he found a moment of serenity by focusing on his breath;"Amidst the chaos, he found a moment of serenity by focusing on his breath.
";0,071428571;2;0,928571429;0,928571429;;;;;;
73;task10_d_non noicy_M.wav;Code is like humor. When you have to explain it, it’s bad;"Code is like humour, when you have to explain it, it's bad.
";0,333333333;6;0,666666667;0,666666667;;;;;;
74;task8_b_native_F.wav;Make it work, make it right, make it fast;"Maen nhw'n gweithio, mae'n iawn, mae'n gyflym.
";1,285714286;33;0;0;;;;;;
75;task9_d_non noicy_M.wav;Amidst the chaos, he found a moment of serenity by focusing on his breath;"Amidst the chaos, he found a moment of serenity by focusing on his breath.
";0,071428571;2;0,928571429;0,928571429;;;;;;
76;task11_b_native_F.wav;The trouble with programmers is that you can never tell what a programmer is doing until it’s too late;"The trouble with programmers is that you can never tell what a programmer is doing until it is too late.
";0,15;4;0,888888889;0,888888889;;;;;;
77;task6_a_non_native_M.wav;The complexity of quantum physics often leaves even experts perplexed;"Die complexiteit van kwantumfysiek lees vaak zelfs experts perplex.
";1;30;0,111111111;0,1;;;;;;
78;task2_b_native_F.wav;The nice smell of fresh coffee floated around, waking me up.;"The nice smell of fresh coffee floated around, waking me up.
";0;1;1;1;;;;;;
79;task7_d_non noicy_F.wav;When you have to protect someone they become your family. Being shinobi is defined by what's in your heart, not your blood;"When you have to protect someone, they become your family. Being shinobi is defined by watching your heart, not your blood.
";0,19047619;8;0,842105263;0,8;;;;;;
80;task2_a_non_native_F.wav;The nice smell of fresh coffee floated around, waking me up.;"The nice smell of fresh coffee floated around, waking me up.
";0;1;1;1;;;;;;
81;task8_c_noisy_F.wav;Make it work, make it right, make it fast;"Make it work, make it right, make it fast.
";0,111111111;2;0,833333333;0,833333333;;;;;;
82;task2_d_non noicy_F.wav;The nice smell of fresh coffee floated around, waking me up.;"The nice smell of fresh coffee floated around, waking me up.
";0;1;1;1;;;;;;
83;task5_b_native_F.wav;The intricate details of the ancient manuscript fascinated the historian;"The intricate details of the ancient manuscript fascinated the historian.
";0,1;2;0,888888889;0,888888889;;;;;;
84;task12_c_noisy_M.wav;In the kaleidoscope of life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.;"In the kaleidoscope of life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the fastitudes of time with an enduring luminosity.
";0,029411765;6;0,962962963;0,962962963;;;;;;
85;task10_c_noisy_F.wav;Code is like humor. When you have to explain it, it’s bad;"Code is like humor when you have to explain it, it's bad
";0,25;4;0,75;0,75;;;;;;
86;task9_c_noisy_M.wav;Amidst the chaos, he found a moment of serenity by focusing on his breath;"Amidst the chaos, he found a moment of serenity by focusing on his breath.
";0,071428571;2;0,928571429;0,928571429;;;;;;
87;task6_d_non noicy_F.wav;The complexity of quantum physics often leaves even experts perplexed;"The complexity of quantum physics often leaves even experts perplexed.
";0,1;2;0,9;0,9;;;;;;
88;task11_c_noisy_M.wav;The trouble with programmers is that you can never tell what a programmer is doing until it’s too late;"The trouble with programmers is that you can never tell what a programmer is doing until it's too late.
";0,105263158;3;0,888888889;0,888888889;;;;;;
89;task4_b_native_F.wav;Despite the intricate interplay of socioeconomic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.;"Despite the intricate interplay of socio-economic factors, the inexorable march of technological advancements continues to reshape the fabric of contemporary existence, fostering both unprecedented opportunities and formidable challenges.
";0,035714286;2;0,958333333;0,958333333;;;;;;
90;task12_b_native_F.wav;In the kaleidoscope of life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.;"Yn y collidosgob o fywyd, mae'r cyfathrebu symbiotig o gyfathrebu a chyfathrebu cyfathrebu yn gweithio fel elixir anodd, gan ymdrechu tapestr o dynion cysylltiedig a chyfathrebu'r amgylcheddau o amser gyda chyfathrebu luminositi.
";1,0625;173;0;0;;;;;;
91;task3_d_non noicy_F.wav;My grandmother, who immigrated from Italy, taught me the art of making homemade pasta;"My grandmother, who immigrated from Italy, taught me the art of making homemade pasta.
";0,071428571;2;0,928571429;0,928571429;;;;;;
92;task3_a_non_native_M.wav;My grandmother, who immigrated from Italy, taught me the art of making homemade pasta;"My grandmother who immigrated from Italy taught me the art of making homemade pasta.
";0,214285714;4;0,785714286;0,785714286;;;;;;
93;task12_d_non noicy_M.wav;In the kaleidoscope of life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.;"In the Kaleidoscope of Life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.
";0,058823529;3;0,925925926;0,925925926;;;;;;
94;task3_b_native_F.wav;My grandmother, who immigrated from Italy, taught me the art of making homemade pasta;"Roedd fy nheb, sy'n ymigredig o Iwerddon, yn dysgu i mi ffyrdd o gwneud pasta gwahoddi.
";0,9375;71;0,066666667;0,071428571;;;;;;
95;task1_a_non_native_F.wav;The sun is shining brightly in the clear blue sky;"The sun is shining brightly in the clear blue sky.
";0,1;2;0,9;0,9;;;;;;
96;;;;;;;;0,859084406;0,857857143;0,858470336;0,843650055;0,842392426;0,842933794